 (-0.061334+0.000000j)  (0.421758+0.000000j)  (-0.425116+0.000000j)  (-0.222264+0.000000j)  (0.303453+0.000000j)  (0.220627+0.000000j)  (-0.136528+0.000000j)  (-0.147285+0.000000j)  (-0.280395+0.000000j)  (0.308016+0.000000j)  (-0.045932+0.000000j)  (-0.103956+0.000000j)  (0.228369+0.000000j)  (-0.064837+0.000000j)  (0.136037+0.000000j)  (0.381925+0.000000j)
 (-0.229140-0.000000j)  (-0.071222+0.000000j)  (0.041110+0.000000j)  (-0.166306+0.000000j)  (-0.418840+0.000000j)  (-0.164235+0.000000j)  (0.127506+0.000000j)  (-0.264745+0.000000j)  (-0.037186+0.000000j)  (0.036512+0.000000j)  (0.392623+0.000000j)  (0.117298+0.000000j)  (0.503596+0.000000j)  (-0.390967+0.000000j)  (-0.198853+0.000000j)  (0.087706+0.000000j)
 (0.352574-0.000000j)  (-0.090096+0.000000j)  (-0.116157+0.000000j)  (-0.200881+0.000000j)  (-0.541386+0.000000j)  (0.376218+0.000000j)  (-0.110382+0.000000j)  (0.049252+0.000000j)  (-0.243670+0.000000j)  (-0.269401+0.000000j)  (0.160608+0.000000j)  (0.107564+0.000000j)  (-0.267633+0.000000j)  (0.045249+0.000000j)  (0.199268+0.000000j)  (0.285973+0.000000j)
 (-0.022901-0.000000j)  (0.241557+0.000000j)  (0.078497+0.000000j)  (-0.193784+0.000000j)  (0.155258+0.000000j)  (0.122633+0.000000j)  (-0.070397+0.000000j)  (-0.237992+0.000000j)  (0.403995+0.000000j)  (-0.259528+0.000000j)  (0.455024+0.000000j)  (-0.444909+0.000000j)  (-0.193541+0.000000j)  (-0.174861+0.000000j)  (0.252446+0.000000j)  (-0.171320+0.000000j)
 (0.003949-0.000000j)  (0.159033+0.000000j)  (-0.293047+0.000000j)  (-0.069672+0.000000j)  (-0.037863+0.000000j)  (-0.228068+0.000000j)  (0.010533+0.000000j)  (-0.317254+0.000000j)  (-0.080950+0.000000j)  (-0.197052+0.000000j)  (-0.284096+0.000000j)  (0.441917+0.000000j)  (-0.117048+0.000000j)  (-0.276719+0.000000j)  (0.373275+0.000000j)  (-0.422803+0.000000j)
 (-0.200269-0.000000j)  (-0.530332+0.000000j)  (-0.099499+0.000000j)  (0.139701+0.000000j)  (0.327698+0.000000j)  (-0.292397+0.000000j)  (-0.098138+0.000000j)  (-0.156589+0.000000j)  (-0.192049+0.000000j)  (-0.051225+0.000000j)  (0.366616+0.000000j)  (0.108342+0.000000j)  (-0.132748+0.000000j)  (0.118266+0.000000j)  (0.351515+0.000000j)  (0.285249+0.000000j)
 (0.233492-0.000000j)  (-0.101594+0.000000j)  (0.177168+0.000000j)  (-0.296505+0.000000j)  (0.172870+0.000000j)  (0.003395+0.000000j)  (-0.219144+0.000000j)  (-0.244415+0.000000j)  (0.567164+0.000000j)  (0.003375+0.000000j)  (-0.181732+0.000000j)  (0.412613+0.000000j)  (0.054707+0.000000j)  (0.026354+0.000000j)  (-0.099405+0.000000j)  (0.373720+0.000000j)
 (0.364252-0.000000j)  (-0.061387+0.000000j)  (-0.091921+0.000000j)  (-0.021324+0.000000j)  (0.117640+0.000000j)  (0.195907+0.000000j)  (0.031724+0.000000j)  (-0.027848+0.000000j)  (0.016289+0.000000j)  (0.074472+0.000000j)  (0.319708+0.000000j)  (0.188664+0.000000j)  (0.492086+0.000000j)  (0.468134+0.000000j)  (0.143268+0.000000j)  (-0.418575+0.000000j)
 (0.283030-0.000000j)  (-0.072427+0.000000j)  (0.384359+0.000000j)  (-0.034497+0.000000j)  (-0.165052+0.000000j)  (-0.115161+0.000000j)  (-0.108215+0.000000j)  (-0.406128+0.000000j)  (-0.187864+0.000000j)  (0.629663+0.000000j)  (-0.056394+0.000000j)  (-0.193854+0.000000j)  (-0.186539+0.000000j)  (-0.020717+0.000000j)  (0.162766+0.000000j)  (-0.119688+0.000000j)
 (0.117961-0.000000j)  (0.092102+0.000000j)  (-0.214988+0.000000j)  (0.137535+0.000000j)  (0.076796+0.000000j)  (-0.037594+0.000000j)  (0.007749+0.000000j)  (-0.543507+0.000000j)  (-0.176313+0.000000j)  (-0.194038+0.000000j)  (0.113033+0.000000j)  (-0.013928+0.000000j)  (-0.249549+0.000000j)  (0.240350+0.000000j)  (-0.637795+0.000000j)  (-0.034111+0.000000j)
 (-0.286849-0.000000j)  (0.045936+0.000000j)  (0.270132+0.000000j)  (-0.705627+0.000000j)  (0.159514+0.000000j)  (-0.000879+0.000000j)  (0.259862+0.000000j)  (0.107947+0.000000j)  (-0.260729+0.000000j)  (0.016237+0.000000j)  (0.080199+0.000000j)  (0.190023+0.000000j)  (-0.225769+0.000000j)  (0.224695+0.000000j)  (-0.101932+0.000000j)  (-0.132162+0.000000j)
